month,actions,highlights,comments,unique_users
2019-11,2,2,0,1
2019-12,0,0,0,0
2020-01,0,0,0,0
2020-02,0,0,0,0
2020-03,0,0,0,0
2020-04,0,0,0,0
2020-05,0,0,0,0
2020-06,5,5,0,1
2020-07,4,4,0,2
2020-08,0,0,0,0
2020-09,0,0,0,0
2020-10,0,0,0,0
2020-11,0,0,0,0
2020-12,1,1,0,1
2021-01,0,0,0,0
2021-02,103,61,42,49
2021-03,42,23,19,23
2021-04,26,15,11,15
2021-05,29,16,13,15
2021-06,41,26,15,26
2021-07,11,11,0,9
2021-08,24,23,1,16
2021-09,10,10,0,10
2021-10,29,26,3,18
2021-11,15,15,0,12
2021-12,9,8,1,8
2022-01,52,39,13,15
2022-02,26,21,5,14
2022-03,60,52,8,38
2022-04,84,76,8,27
2022-05,37,34,3,25
2022-06,29,28,1,21
2022-07,91,81,10,49
2022-08,86,83,3,42
2022-09,109,104,5,31
2022-10,67,62,5,36
2022-11,180,152,28,48
2022-12,130,125,5,33
2023-01,243,196,47,85
2023-02,94,82,12,46
2023-03,88,75,13,43
2023-04,148,144,4,44
2023-05,126,108,18,49
2023-06,90,79,11,37
2023-07,924,823,101,70
2023-08,389,340,49,122
2023-09,263,207,56,60
2023-10,161,136,25,55
2023-11,169,157,12,52
2023-12,344,306,38,76
2024-01,369,344,25,69
2024-02,178,166,12,50
2024-03,217,201,16,60
2024-04,176,166,10,61
2024-05,184,162,22,54
2024-06,202,178,24,59
2024-07,111,107,4,50
2024-08,102,91,11,46
2024-09,225,217,8,50
2024-10,114,107,7,47
2024-11,254,245,9,44
2024-12,92,91,1,31
2025-01,163,154,9,49
2025-02,149,141,8,41
2025-03,75,69,6,39
2025-04,191,187,4,45
2025-05,50,47,3,26
2025-06,132,126,6,40
2025-07,81,71,10,34
2025-08,61,52,9,28
2025-09,63,62,1,33
2025-10,70,63,7,53
2025-11,158,149,9,43
2025-12,78,76,2,47
2026-01,329,307,22,66
2026-02,232,202,30,71
2026-03,132,111,21,68
2026-04,182,160,22,54
2026-05,72,68,4,41
2026-06,255,223,32,55
2026-07,113,108,5,35
